"year","age","sex","maritl","race","education","region","jobclass","health","health_ins","wage"
2008,37," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
2007,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",119.405204322401
2008,54," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",107.903923866876
2004,41," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",154.868367231559
2005,57," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," No",75.3556793180091
2007,54," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.539502533774
2009,25," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",76.8936025176112
2003,35," Male"," Separated"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",62.198679430261
2008,29," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",182.020620963512
2009,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",267.901086855275
2005,43," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",141.77517233318
2007,41," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",186.876677628007
2003,52," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",72.1504556815713
2005,48," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",49.5553381215226
2003,51," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",81.2832532842527
2004,55," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
2004,37," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",97.4932940453934
2007,48," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",111.720849360989
2003,42," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",101.82435207568
2007,43," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",127.115743812184
2006,32," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",87.9810327856054
2006,33," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",84.0459576539924
2003,48," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",78.3924668009837
2009,20," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",46.3665027412862
2005,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",132.860765311572
2003,58," Male"," Divorced"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",61.5945831752282
2004,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2008,23," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",66.2294082943902
2009,54," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",108.874525834712
2007,66," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
2009,47," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",152.838800991182
2003,35," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," No",76.8936025176112
2008,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",143.134940811134
2005,35," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",125.20428658029
2006,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",75.610695863947
2006,41," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
2004,40," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
2006,50," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",59.0970640815891
2004,35," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2009,43," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",95.2307125669819
2005,26," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",104.921506533664
2009,23," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",49.5553381215226
2003,61," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",130.982177377461
2004,24," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",43.7351116779821
2006,66," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
2006,50," Male"," Widowed"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
2005,22," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",75.0431540173515
2004,62," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",91.6992261117042
2003,55," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",105.927810775063
2004,41," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",73.7757432746946
2005,54," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",170.156834417801
2009,29," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",138.299126920883
2004,39," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",101.82435207568
2006,71," Male"," Divorced"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",87.9810327856054
2003,22," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",78.3924668009837
2007,48," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",123.089699847943
2009,35," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",116.265324062503
2003,46," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," No",90.4819133566401
2003,51," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",109.833985642199
2005,55," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",104.921506533664
2005,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
2008,57," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",94.0727147457005
2005,21," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",141.77517233318
2006,60," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",128.680488220624
2006,41," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",73.7757432746946
2004,56," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",139.353811767493
2005,32," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",94.0727147457005
2003,32," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",73.7757432746946
2006,36," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",107.903923866876
2006,28," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",64.5420748732979
2009,60," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," No",138.299126920883
2003,41," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",89.2428846644714
2006,55," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
2003,36," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
2006,46," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",90.4819133566401
2008,62," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",89.4924795180001
2006,44," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",102.766280877288
2006,36," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
2004,41," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
2006,22," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
2008,51," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",129.983634818897
2008,57," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",110.782650276254
2005,55," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",114.475713290347
2003,36," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
2008,43," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",276.778413321176
2003,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," No",23.9529444789965
2006,27," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",103.90247060316
2007,32," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
2009,44," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",71.6867436659172
2008,56," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",276.778413321176
2007,38," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",141.77517233318
2003,36," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",99.6894636984864
2005,28," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",108.874525834712
2005,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",79.8549003093467
2008,42," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",78.9846061809321
2009,51," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",82.6796372966372
2004,55," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",89.4924795180001
2007,39," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
2003,42," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",109.706051812711
2006,33," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",117.146816914805
2008,23," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",73.7757432746946
2003,40," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
2003,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",80.8581959564691
2009,51," Male"," Married"," Asian"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",107.903923866876
2007,76," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",76.8936025176112
2007,57," Male"," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",87.9810327856054
2003,27," Male"," Separated"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",95.2307125669819
2005,26," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",84.0459576539924
2005,25," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
2005,27," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",101.402052302992
2004,33," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",87.9810327856054
2003,51," Male"," Divorced"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",87.9810327856054
2005,22," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",94.0727147457005
2005,47," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",128.199636871795
2009,34," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",136.517655222436
2008,47," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",107.903923866876
2005,31," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",123.089699847943
2005,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",91.6992261117042
2006,47," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",78.3924668009837
2006,49," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",154.68529299563
2003,40," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",136.15771083723
2004,51," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
2008,31," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",76.2832778539642
2003,58," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
2005,48," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",87.7884362154584
2004,54," Male"," Divorced"," Black"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",127.115743812184
2007,56," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",154.072997206315
2007,61," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",109.833985642199
2009,32," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",138.299126920883
2007,60," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",164.646988930328
2006,42," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",138.299126920883
2003,22," Male"," Never Married"," Asian"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",44.9782920272516
2003,46," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",106.723977625299
2005,53," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
2008,43," Male"," Divorced"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",73.7757432746946
2009,32," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",75.3556793180091
2009,30," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",141.77517233318
2009,50," Male"," Never Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",109.833985642199
2006,40," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",277.79948020565
2009,55," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",79.8549003093467
2004,42," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",166.324941233877
2004,35," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",75.3556793180091
2004,33," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",100.086742317948
2004,33," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",102.870246933215
2003,38," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.712094053725
2009,41," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",117.146816914805
2009,42," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",123.500017774584
2009,58," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
2009,45," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",76.8936025176112
2009,47," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
2005,30," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",105.927810775063
2009,34," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",160.642475408263
2006,43," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",149.695042068453
2008,58," Male"," Separated"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2009,44," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",104.923531700709
2005,28," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",61.1875264339915
2004,46," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",105.927810775063
2008,36," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",107.903923866876
2007,37," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",70.8150386167557
2008,47," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",160.642475408263
2007,56," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",99.6894636984864
2009,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",111.720849360989
2007,41," Male"," Never Married"," Black"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",75.3556793180091
2004,62," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",94.0727147457005
2004,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",87.9810327856054
2004,44," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.089699847943
2007,56," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2008,51," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",76.8936025176112
2005,41," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",86.6951548289402
2005,52," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
2008,27," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",100.764272842107
2004,52," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",114.475713290347
2005,51," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",67.1792914754174
2009,51," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",79.8549003093467
2005,28," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",90.4819133566401
2007,49," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",57.9709421772731
2007,61," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",114.475713290347
2006,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",99.6894636984864
2005,23," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",89.4924795180001
2007,53," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",151.805096289083
2004,55," Male"," Never Married"," Asian"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",87.9810327856054
2005,48," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",87.9810327856054
2007,50," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",104.921506533664
2009,31," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",65.1108537153447
2007,53," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",128.680488220624
2008,49," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",154.68529299563
2003,49," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",130.982177377461
2004,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",120.589436530402
2007,20," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
2008,46," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",110.172930287822
2005,48," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",152.216806827106
2005,19," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",70.4760196469445
2004,56," Male"," Divorced"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3839403789827
2003,44," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",101.82435207568
2009,23," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",85.3839403789827
2005,42," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",101.82435207568
2008,32," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," No",118.884359339886
2003,32," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",73.7757432746946
2003,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",73.7757432746946
2008,57," Male"," Never Married"," Black"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",138.610994032645
2008,26," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",109.833985642199
2009,67," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",151.591484239814
2004,31," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
2006,49," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",103.90247060316
2005,29," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",128.680488220624
2008,41," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",108.874525834712
2006,35," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",87.9810327856054
2009,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",95.2307125669819
2004,33," Male"," Separated"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",98.5993438603892
2009,53," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",141.77517233318
2009,43," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.089699847943
2004,36," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",94.6540203819701
2004,38," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
2003,58," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",104.921506533664
2004,45," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.089699847943
2005,34," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",94.5960991038653
2007,30," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",127.115743812184
2008,21," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",29.3769761006037
2003,39," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",129.453644576625
2006,28," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
2008,54," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
2007,24," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",90.4819133566401
2005,57," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",70.8150386167557
2003,48," Male"," Separated"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",95.2307125669819
2004,31," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
2006,47," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",182.020620963512
2004,44," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",160.642475408263
2004,30," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",70.4760196469445
2003,41," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",130.982177377461
2008,26," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",105.927810775063
2009,32," Male"," Never Married"," Asian"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
2009,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",97.4710060955894
2004,42," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",111.720849360989
2005,24," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",172.217265521809
2006,44," Male"," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",129.453644576625
2006,30," Male"," Never Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",127.115743812184
2006,58," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",134.705375118879
2008,33," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",94.0727147457005
2008,56," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",94.0727147457005
2005,28," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",96.9340904570115
2008,41," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",276.778413321176
2009,22," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",32.3664131748549
2004,37," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",84.450253670189
2006,18," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",65.1108537153447
2004,37," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",84.7183897030478
